NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g)
01001,"BUTTER,WITH SALT",15.87,717,0.85
01002,"BUTTER,WHIPPED,W/ SALT",16.72,718,0.49
01003,"BUTTER OIL,ANHYDROUS",0.24,876,0.28
01004,"CHEESE,BLUE",42.41,353,21.4
01005,"CHEESE,BRICK",41.11,371,23.24
01006,"CHEESE,BRIE",48.42,334,20.75
01007,"CHEESE,CAMEMBERT",51.8,300,19.8
01008,"CHEESE,CARAWAY",39.28,376,25.18
01009,"CHEESE,CHEDDAR",37.02,404,22.87
01010,"CHEESE,CHESHIRE",37.65,387,23.37
01011,"CHEESE,COLBY",38.2,394,23.76
01012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",79.79,98,11.12